id,bubble_bounds,body_bounds,tip_bounds,tip_x,tip_y,status
GS01,"(426, 552, 582, 606)","(503, 561, 578, 636)","(536, 636, 543, 681)",539,681,FOUND
GS02,"(426, 552, 582, 606)","(503, 561, 578, 636)","(536, 636, 543, 681)",539,681,FOUND
GS03,"(426, 552, 582, 606)","(503, 561, 578, 636)","(536, 636, 543, 681)",539,681,FOUND
GS04,"(426, 552, 582, 606)","(503, 561, 578, 636)","(536, 636, 543, 681)",539,681,FOUND
GS05,"(426, 552, 582, 606)","(503, 561, 578, 636)","(536, 636, 543, 681)",539,681,FOUND
GS06,"(426, 552, 582, 606)","(503, 561, 578, 636)","(536, 636, 543, 681)",539,681,FOUND
GS07,"(426, 552, 582, 606)","(503, 561, 578, 636)","(536, 636, 543, 681)",539,681,FOUND
